배트맨 대 슈퍼맨: 저스티스의 시작	2.0	영상미 좋다, 액션 괜찮은편, 원더우먼 배트맨 캐릭터 좋은 편, 초반까지 꽤 괜찮다. 근데 그게 전부다...원작을 알든 모르든 상관없이 영화가 워낙 엉망이다....뭔가 야심차게 만들었는데, 뚜껑여니 총체적 난국.......트랜스포머4처럼 뇌 비우고 뻥뻥터지는게 재미라고 생각하면 봐도 되지만 그래도 재미 장담못할 지경.	까끄리콩	2016.03.24	 2
배트맨 대 슈퍼맨: 저스티스의 시작	7.0	연출력과 영상은 괜찮은데 별로 확실히 디씨 살릴건 놀란뿐이 없다 마블에 비해 역시 딸림 올해 4월에 캡틴아메리카 시빌워 진짜가 온다!!!	Wkdofoels	2016.03.24	 0
배트맨 대 슈퍼맨: 저스티스의 시작	6.0	dc,마블 어느정도 아는 사람은 긴 서사를 즐기면서 볼수 있겟으나, 당장 즐거움을 찾는 관객에겐 딱 외면 받기 좋은 영화였음. 맨오브스틸>돈오브저스티스 , 배트맨,원더우먼의 수트와 비쥬얼은 괜찮음.	Yungeotgom	2016.03.24	 2
배트맨 대 슈퍼맨: 저스티스의 시작	0.0	아 나 이런 허접. 졸작. 망작. 졸려 디지는 줄	nes	2016.03.24	 1
배트맨 대 슈퍼맨: 저스티스의 시작	2.0	DC가 결국 위대했던 놀란의 업적마저 박살냈다. 차라리 다크 나이트 이후 모든 작품을 놀란에게 맡겼다면 지금은 마블과 DC의 박터지는 히어로 전쟁을 볼 수 있었을 텐데... 잭슈나이더 당신은 놀란이 아니다. 액션만 잘찍는 감독일뿐. 그러니 차라리 철학을 배제하고 액션으로 갔어야 하건만 놀란 따라하다 망했다.	레이딜론	2016.03.24	 3
배트맨 대 슈퍼맨: 저스티스의 시작	10.0	원더우먼 갤가돗의 뜻하지않은 매력폭발.배우들은 열연하나 각본이 따라주지 못함.많은 이야기를 담으려니 다급해진 DC 댓글달기	ependymoma	2016.03.24	 1
배트맨 대 슈퍼맨: 저스티스의 시작	10.0	레알 존잼.. 진짜 쩔었음 기대했는데 그 기대보다 더 괜찮은 영화임! 아맥으로 또 볼겁니다!!	푸우푸우물풀	2016.03.24	 1
배트맨 대 슈퍼맨: 저스티스의 시작	7.0	오늘 관람.... 난 DC팬이고 워낙 슈퍼맨을 좋아해서 영화가 좋았는데..... 다른사람들에겐 스토리나 구성이... 걱정됨. 특히여성분들이 지루해할듯..	동상이몽	2016.03.24	 1
배트맨 대 슈퍼맨: 저스티스의 시작	9.0	액션 만큼은 시원시원하네요. 어두운 분위기의 영화를 좋아라해서 전 재미 있게 보고 왔네요. 더욱더 어둡고 침울하고 암울한 분위기의 히어로 영화들을 기대합니다~~	뜨거운눈	2016.03.24	 1
배트맨 대 슈퍼맨: 저스티스의 시작	3.0	진짜로 영화보는 동안 뛰쳐나가고 싶었음... 지루하고 우울하고;; 근데 슈퍼맨까지 죽어버리니.....3점은 슈퍼맨 배트맨 원더우먼 이름값;;	허브	2016.03.24	 1
